ID,Name,Brand,Mount,Media Width,Media Height,Media Size Name,Name.Japan,Name.US,Keywords
f09445da-e18f-410e-88a3-dca12e849e97,EOS 5D,Canon,Canon EF,35.8,23.9,35mm,,,
7c2e596b-1154-475d-ae0a-e99a7ee8a098,EOS 5D Mark II,Canon,Canon EF,36,24,35mm,,,
c7cf24b2-01c2-4114-9feb-01f6f249881c,EOS 5D Mark III,Canon,Canon EF,36,24,35mm,,,
03951999-7f3d-42d0-b561-08c028550266,EOS 5D Mark IV,Canon,Canon EF,36,24,35mm,,,
621da8b3-09db-45f1-aa0e-9dbfbceec21f,EOS 5Ds,Canon,Canon EF,36,24,35mm,,,
b28dd940-c037-4a54-a480-56db35e29e97,EOS 5Ds R,Canon,Canon EF,36,24,35mm,,,
44022456-b251-4fc3-b04d-57b526940f88,EOS 6D,Canon,Canon EF,35.8,23.9,35mm,,,
55b56eb3-0e5d-41e9-9707-2657144095db,EOS 6D Mark II,Canon,Canon EF,35.9,24,35mm,,,
50dfc043-7f77-4034-829e-6a7d1d0f6653,EOS 90D,Canon,Canon EF,22.3,14.8,APS-C,,,
554ba8e1-acaa-4881-a37d-cea68a8d068d,EOS-1D,Canon,Canon EF,28.7,19.1,APS-H,,,
08ff5542-ca7c-41da-a090-310d636ff69d,EOS-1D Mark II,Canon,Canon EF,28.7,19.1,APS-H,,,
d8a6addd-9a49-4d4f-b60e-e6dfcc6be3a5,EOS-1D Mark II N,Canon,Canon EF,28.7,19.1,APS-H,,,
7fef97a9-1198-4525-97d1-85f410a376b8,EOS-1D Mark III,Canon,Canon EF,28.1,18.7,APS-H,,,
359e00b7-be31-4934-bf3f-c557cd5d99ed,EOS-1D Mark IV,Canon,Canon EF,27.9,18.6,APS-H,,,
83eb4f78-c513-43a8-aa0b-7c77ce79fdf8,EOS-1D X,Canon,Canon EF,36,24,35mm,,,
ddb2bb44-d2a6-4430-bae3-e5dad8e1566b,EOS-1D X Mark II,Canon,Canon EF,35.9,23.9,35mm,,,
75d836cd-b95a-4b54-b70a-9babb9de95ec,EOS-1Ds,Canon,Canon EF,35.8,23.8,35mm,,,
8cef4efc-631a-498f-8ead-361ae7549743,EOS-1Ds Mark II,Canon,Canon EF,36,24,35mm,,,
48e77309-c732-4e97-a03f-9f175834789e,EOS-1Ds Mark III,Canon,Canon EF,36,24,35mm,,,
78a33ecc-5984-40a9-a7dc-9e02cb3b48af,EOS-1Ds X,Canon,Canon EF,36,24,35mm,,,
63ef4f73-6f84-462a-aa55-43e37b57048b,EOS M,Canon,Canon EF-M,22.3,14.9,APS-C,,,
e04e5179-5008-4884-843d-004cda22da57,EOS M10,Canon,Canon EF-M,22.3,14.9,APS-C,,,
bb8d7470-206f-4be9-bf67-7c99d3094a10,EOS M100,Canon,Canon EF-M,22.3,14.9,APS-C,,,
ede497d9-6269-49a8-98ec-a257bbfac387,EOS M2,Canon,Canon EF-M,22.3,14.9,APS-C,,,
d30f32ee-b188-4ed1-9247-f2f69db00593,EOS M3,Canon,Canon EF-M,22.3,14.9,APS-C,,,
5bdac598-5857-45c7-a484-ed659b548c8d,EOS M5,Canon,Canon EF-M,22.3,14.5,APS-C,,,
243425ae-1983-4cc8-96fd-b5848e40a06d,EOS M50,Canon,Canon EF-M,22.3,14.9,APS-C,EOS Kiss M,,
5caefa4f-40fb-4f81-a426-f31dbc665af2,EOS M6,Canon,Canon EF-M,22.3,14.6,APS-C,,,
a77d98e9-d1ba-465f-b235-c57d52e4d020,EOS M6 Mark II,Canon,Canon EF-M,22.3,14.6,APS-C,,,
8db0b17b-38ab-45d0-9ef2-cf0c6b35c090,EOS 1000D,Canon,Canon EF-S,22.2,14.8,APS-C,EOS Kiss F,EOS Rebel XS,
ffe8f75a-ab71-4e9a-931c-3929890fbc26,EOS 100D,Canon,Canon EF-S,22.3,14.9,APS-C,EOS Kiss X7,EOS Rebel SL1,
a977dae2-884b-4879-a83e-df4e977dade0,EOS 10D,Canon,Canon EF-S,22.7,15.1,APS-C,,,
c2abb32b-4aaf-4bf2-bab6-52a12d64c6b5,EOS 1100D,Canon,Canon EF-S,22,14.7,APS-C,EOS Kiss X50,EOS Rebel T3,
f6fb8e76-e4d4-4d11-87d5-bf34353c1d08,EOS 1200D,Canon,Canon EF-S,22.3,14.9,APS-C,EOS Kiss X70,EOS Rebel T5,
0da98607-f798-4b19-b78d-9e59b0ccb1b2,EOS 1300D,Canon,Canon EF-S,22.3,14.9,APS-C,EOS Kiss X80,EOS Rebel T6,
18c52297-bfc2-4d8f-bd92-0d22e5136b41,EOS 2000D,Canon,Canon EF-S,22.3,14.9,APS-C,EOS Kiss X90,EOS Rebel T7,
b438b99f-b08a-43c4-a241-36776b0b4ab0,EOS 200D,Canon,Canon EF-S,22.3,14.9,APS-C,EOS Kiss X9,EOS Rebel SL2,
72b5aa18-7986-4198-b0a8-702ec935b22a,EOS 20D,Canon,Canon EF-S,22.5,15,APS-C,,,
e7cfa349-5f6e-4c7d-a32f-ca0d7665fe41,EOS 30D,Canon,Canon EF-S,22.5,15,APS-C,,,
29ba45db-791e-47bb-83cb-c41a4f5c248e,EOS 350D,Canon,Canon EF-S,22.2,14.8,APS-C,EOS Kiss Digital N,EOS Rebel XT,
96b3a176-1fd2-410b-a233-32abff63c2a9,EOS 400D,Canon,Canon EF-S,22.2,14.8,APS-C,EOS Kiss Digital X,EOS Rebel XTi,
25c6987d-9679-4e8d-b991-a45b69db9860,EOS 40D,Canon,Canon EF-S,22.2,14.8,APS-C,,,
1308201f-6c4c-401f-9adf-96f96c4c7432,EOS 450D,Canon,Canon EF-S,22.2,14.8,APS-C,EOS Kiss X2,EOS Rebel XSi,
00242899-25d8-42e8-9c03-56118d3e7fa5,EOS 500D,Canon,Canon EF-S,22.3,14.9,APS-C,EOS Kiss X3,EOS Rebel T1i,
bcd514ad-9d88-4db2-83d0-ddb85d2d6659,EOS 50D,Canon,Canon EF-S,22.3,14.9,APS-C,,,
239c9cfd-a31f-4d34-b4cc-89111f77c2ba,EOS 550D,Canon,Canon EF-S,22.3,14.9,APS-C,EOS Kiss X4,EOS Rebel T2i,
aa285588-90ac-4880-8d05-80c8db685344,EOS 600D,Canon,Canon EF-S,22.3,14.9,APS-C,EOS Kiss X5,EOS Rebel T3i,
f42fb711-690e-4230-b217-6284e8cbfba1,EOS 60D,Canon,Canon EF-S,22.3,14.9,APS-C,,,
b2e39f77-6e67-4c56-96a9-c9609cf6b9f7,EOS 650D,Canon,Canon EF-S,22.3,14.9,APS-C,EOS Kiss X6i,EOS Rebel T4i,
28734964-c9d2-4a79-96d1-47438463f631,EOS 700D,Canon,Canon EF-S,22.3,14.9,APS-C,EOS Kiss X7i,EOS Rebel T5i,
ad43fd38-3f86-4bb9-9d3b-ad5cd7833d6f,EOS 70D,Canon,Canon EF-S,22.5,15,APS-C,,,
d33f4d65-dd8c-4622-8951-b9619a0d82f3,EOS 750D,Canon,Canon EF-S,22.3,14.9,APS-C,EOS Kiss X8i,EOS Rebel T6i,
d4119605-7bfe-487f-927c-d5544481a068,EOS 7D,Canon,Canon EF-S,22.3,14.9,APS-C,,,
8c9967b2-2245-4766-b72a-a96bf04b460c,EOS 7D Mark II,Canon,Canon EF-S,22.4,15,APS-C,,,
ef5b40ac-10e6-4f66-a7c4-0ebe5d4ae252,EOS 8000D,Canon,Canon EF-S,22.3,14.9,APS-C,,,
2cdc8c52-1c90-49fc-8815-d03c4b9654cb,EOS 800D,Canon,Canon EF-S,22.3,14.9,APS-C,EOS Kiss X9i,EOS Rebel T7i,
ff253f7e-5163-4ac9-b1ab-391547f7b208,EOS 80D,Canon,Canon EF-S,22.3,14.9,APS-C,,,
7b890ecf-7910-4fe9-80a3-ca8a380c740d,EOS 9000D,Canon,Canon EF-S,22.3,14.6,APS-C,,,
c6bab0a4-b538-40a7-8319-dac7f2da7aa8,EOS R,Canon,Canon RF,36,24,35mm,,,
f7f10096-b4ba-4d15-bc62-840d4c4230b3,EOS R5,Canon,Canon RF,36,24,35mm,,,
f7566b40-2d24-4f2d-8b83-6e0805581fdc,EOS R6,Canon,Canon RF,35.9,23.9,35mm,,,
41ffda9e-a3bf-47ef-ab06-abe3cb147a58,EOS Ra,Canon,Canon RF,36,24,35mm,,,
b9718d9e-fe67-450d-9cc8-7dea083cb398,EOS RP,Canon,Canon RF,35.9,24,35mm,,,
a05d85e0-a9f5-4e3c-87d3-bbc2e3c5c890,GFX 50S,Fujifilm,Fujifilm G,43.8,32.9,Medium Format,,,
842f9a9a-2abf-4490-a17d-9619fe6aca81,X-A1,Fujifilm,Fujifilm X,23.6,15.6,APS-C,,,
0d23f8ce-6f8f-4571-9a84-c3c3d3aaf7a4,X-A10,Fujifilm,Fujifilm X,23.6,15.6,APS-C,,,
640f93f6-12cf-4392-8faf-c7c35e7a37d4,X-A2,Fujifilm,Fujifilm X,23.6,15.6,APS-C,,,
503e7930-d657-4d47-896e-60f9a24673f6,X-A3,Fujifilm,Fujifilm X,23.5,15.7,APS-C,,,
1e04c6db-c204-4b79-b24c-b6befaca3653,X-A7,Fujifilm,Fujifilm X,23.5,15.7,APS-C,,,
1b422476-d822-4b2b-892e-6b907c317825,X-E1,Fujifilm,Fujifilm X,23.6,15.6,APS-C,,,
08986f14-50b1-43b4-8d36-d788df90c396,X-E2,Fujifilm,Fujifilm X,23.6,15.6,APS-C,,,
d0e19e3d-b7ac-42f3-baf1-d9960b4990bf,X-E3,Fujifilm,Fujifilm X,23.5,15.6,APS-C,,,
8dc7d3d8-2de5-4bc0-9114-1de732c0bcac,X-H1,Fujifilm,Fujifilm X,23.5,15.6,APS-C,,,
13eeb7f5-e6aa-43a7-a25b-774b2b9da6e5,X-M1,Fujifilm,Fujifilm X,23.6,15.6,APS-C,,,
680ea72f-dea2-4784-b5f1-f9de0208d66f,X-Pro1,Fujifilm,Fujifilm X,23.6,15.6,APS-C,,,
35f64a6a-6604-4ad0-bacd-59ff236a43d4,X-Pro2,Fujifilm,Fujifilm X,23.6,15.6,APS-C,,,
a0d2dda8-4d8e-446b-a121-bfdc7b5402f8,X-T1,Fujifilm,Fujifilm X,23.6,15.6,APS-C,,,
5a309b7a-dffa-48e3-b53b-e2fd84fe314f,X-T10,Fujifilm,Fujifilm X,23.6,15.6,APS-C,,,
cb66a0a2-247c-4d96-990d-120c6df99e71,X-T100,Fujifilm,Fujifilm X,23.5,15.7,APS-C,,,
a1b5406a-c13f-4299-994d-20f3082c714c,X-T2,Fujifilm,Fujifilm X,23.6,15.6,APS-C,,,
4328d229-f3bc-4db4-a7e5-0703e8c08d9e,X-T20,Fujifilm,Fujifilm X,23.6,15.6,APS-C,,,
261a5e00-6fa9-4527-8fc2-3c2bf3e0643d,X-T30,Fujifilm,Fujifilm X,23.5,15.6,APS-C,,,
91bfa0c3-5129-4a56-8b5d-399dad83876b,X1D II 50C,Hasselblad,XCD,43.8,32.9,Medium Format,,,
1fb1dca1-ec44-43a5-abc1-0f33145a78ad,X1D-50c,Hasselblad,XCD,43.8,32.9,Medium Format,,,
1dabaefc-cbe4-4a2b-8f56-b0d2d9de5088,PIXPRO S-1,Kodak,MFT,17.3,13,"4/3""",,,
11f0589b-4cff-4139-83a4-2f4c4afb69dc,SL,Leica,Leica L,36,24,35mm,,,Typ 601
8ad0bca8-a504-43e6-acdc-2399beadb3a1,T,Leica,Leica L,23.6,15.7,APS-C,,,Typ 701
1a0bd2fa-c887-41a2-a03b-1c4e26799a59,TL,Leica,Leica L,23.6,15.7,APS-C,,,
c17af5a7-c07a-4a9c-9411-9a295150dc6a,TL2,Leica,Leica L,23.6,15.7,APS-C,,,
d337f7d7-aa6a-4ec3-8e33-454343f3dc30,M,Leica,Leica M,35.8,23.9,35mm,,,Typ 240
4393037e-63e2-48e7-be35-ba0afd67c19b,M (Typ 262),Leica,Leica M,35.8,23.9,35mm,,,
04742736-7f8a-439d-ac45-4a8ade649cb7,M Monochrom,Leica,Leica M,35.8,23.9,35mm,,,
367691e1-6d19-4e15-b750-7f86e0f93892,M Monochrom (Typ 246),Leica,Leica M,35.8,23.9,35mm,,,
28df122f-c158-4a4a-887f-270337e820be,M-E,Leica,Leica M,35.8,23.9,35mm,,,
86592b97-a867-49b9-a482-85dd91eeaba9,M10,Leica,Leica M,35.8,23.9,35mm,,,Typ3656
27bc6d98-1377-4fad-9e84-bc168da07230,M8,Leica,Leica M,27,18,APS-H,,,
24dae877-7efa-4545-8cad-fcd7d4d405f5,M8.2,Leica,Leica M,27,18,APS-H,,,
71741299-9059-484c-8698-b8a60d414299,M9,Leica,Leica M,35.8,23.9,35mm,,,
1b71fcc5-7f47-47fe-ae7b-53d4e4a4551b,M9-P,Leica,Leica M,35.8,23.9,35mm,,,
704a1dd6-8707-44d9-af20-f952dfe6c58b,S,Leica,Leica S,45,30,Medium Format,,,Typ 007
4d14af1d-61c8-4181-8bd5-e335409708bd,S-E,Leica,Leica S,45,30,Medium Format,,,Typ 006
481ebdab-08b1-4e1c-9b1d-d6b4ecedf9f7,Nikon 1 AW1,Nikon,Nikon 1,13.2,8.8,CX,,,
f7097567-73a9-4046-9752-9ebd01017343,Nikon 1 J1,Nikon,Nikon 1,13.2,8.8,CX,,,
ee610019-4ad4-4a47-af12-386c578823a4,Nikon 1 J2,Nikon,Nikon 1,13.2,8.8,CX,,,
a4d64f8a-b3aa-455f-aea6-1c32bc355b62,Nikon 1 J3,Nikon,Nikon 1,13.2,8.8,CX,,,
99d21626-b3e8-4c33-8667-9d6ebe36d48e,Nikon 1 J4,Nikon,Nikon 1,13.2,8.8,CX,,,
ac8a16d5-9945-467a-a81f-537e43ecc17c,Nikon 1 J5,Nikon,Nikon 1,13.2,8.8,CX,,,
1a26f0de-494a-4b13-9aaa-7ac960593f1c,Nikon 1 S1,Nikon,Nikon 1,13.2,8.8,CX,,,
abed1889-ca7d-4e16-8e53-397b3e43a872,Nikon 1 S2,Nikon,Nikon 1,13.1,8.8,CX,,,
abdbe297-e0ee-4b6e-b044-cec00d3ac067,Nikon 1 V1,Nikon,Nikon 1,13.2,8.8,CX,,,
7b817b1a-b9aa-47f3-a158-c1fe1b54f950,Nikon 1 V2,Nikon,Nikon 1,13.2,8.8,CX,,,
4e0081d0-b7dd-4e24-bef1-8b10181914e5,Nikon 1 V3,Nikon,Nikon 1,13.2,8.8,CX,,,
6af5c875-86f0-4459-ab4f-8c4049c17dc4,D1,Nikon,Nikon F,23.7,15.6,DX,,,
bf48eb04-cc99-48e5-ae71-884ead8b41cc,D100,Nikon,Nikon F,23.7,15.6,DX,,,
27390469-5c35-4fbf-8c47-39b934a9811b,D1H,Nikon,Nikon F,23.7,15.6,DX,,,
ece48ba9-8bda-4860-b8f1-d21e3f0043d6,D1X,Nikon,Nikon F,23.7,15.6,DX,,,
b7671b2a-8b83-4c5d-b878-dbef9b9b2a22,D200,Nikon,Nikon F,23.6,15.8,DX,,,
b2fe00b0-e626-484c-ac2d-29124d9e38da,D2H,Nikon,Nikon F,23.3,15.5,DX,,,
a7d469d3-1ca9-4eb8-a450-c7aefedbd266,D2HS,Nikon,Nikon F,23.3,15.5,DX,,,
2f398b44-6c61-45ac-9932-471827842c2b,D2X,Nikon,Nikon F,23.7,15.7,DX,,,
2b59612f-e696-4ad4-94ee-2ee3faaf2891,D2XS,Nikon,Nikon F,23.7,15.7,DX,,,
073799e0-c011-42f5-b7cc-9cb40f33881f,D3,Nikon,Nikon F,36,23.9,FX,,,
c98bead3-216d-459d-8a45-3a739d7649f2,D300,Nikon,Nikon F,23.6,15.8,DX,,,
f301d11a-a5a9-4c64-a4b3-31a429cabbf2,D3000,Nikon,Nikon F,23.6,15.8,DX,,,
513b5c90-e0cf-4602-abe3-b0d94da462b4,D300S,Nikon,Nikon F,23.6,15.8,DX,,,
8b5b6f51-a64f-4612-9bbc-9fc631a7bf31,D3100,Nikon,Nikon F,23.1,15.4,DX,,,
7c844666-c9cf-41e4-9e7e-f9018eda4fba,D3200,Nikon,Nikon F,23.2,15.4,DX,,,
d8d983c8-3137-4511-840f-4dfdecc2a332,D3300,Nikon,Nikon F,23.5,15.6,DX,,,
cfc49d49-3d71-41c7-9887-cf737438f69a,D3400,Nikon,Nikon F,23.5,15.6,DX,,,
a3a95904-f376-497c-820d-cac2896dea80,D3S,Nikon,Nikon F,36,23.9,FX,,,
4ddf1dd4-a192-4d7d-9294-6635dacac89e,D3X,Nikon,Nikon F,35.9,24,FX,,,
e18cdfff-8091-4ca8-851e-3140d1ec2b84,D4,Nikon,Nikon F,36,23.9,FX,,,
f7b06a3e-27d4-485e-93c5-43d1f8caa1c9,D40,Nikon,Nikon F,23.7,15.6,DX,,,
f9002ccd-376c-460f-8943-4d6ceff2fe0f,D40X,Nikon,Nikon F,23.6,15.8,DX,,,
bd53d58b-b08f-413b-ac38-a81f511dc233,D4S,Nikon,Nikon F,36,23.9,FX,,,
772d94b2-97a9-4ccd-9ba6-cfeca5164d55,D5,Nikon,Nikon F,35.9,23.9,FX,,,
6fdb3804-6154-406a-90ac-e7c7f00a97b6,D50,Nikon,Nikon F,23.7,15.6,DX,,,
9e391ead-7dbe-4d8e-ab80-3c3e3d96e538,D500,Nikon,Nikon F,23.5,15.7,DX,,,
1f7198bd-dd2f-41b2-bd2b-14cceb23bb3b,D5000,Nikon,Nikon F,23.6,15.8,DX,,,
c9200635-7c1e-459c-b70f-4de1cbf076e3,D5100,Nikon,Nikon F,23.5,15.6,DX,,,
01f31bd5-38ce-439e-9188-dd66ede28261,D5200,Nikon,Nikon F,23.5,15.6,DX,,,
b898d2a8-5464-4583-bbe0-5bb414b21345,D5300,Nikon,Nikon F,23.5,15.6,DX,,,
9879c6c1-eadd-4f9b-9a8d-8d164fc1b497,D5500,Nikon,Nikon F,23.5,15.6,DX,,,
7fe91a8a-6d49-445e-a237-805607e24430,D5600,Nikon,Nikon F,23.5,15.6,DX,,,
134d6389-e43d-4dea-b782-cae1c5367712,D60,Nikon,Nikon F,23.6,15.8,DX,,,
bde81676-0f10-4848-86da-e848e4bf0351,D600,Nikon,Nikon F,35.9,24,FX,,,
152503a7-b105-476b-81ac-1512051df658,D610,Nikon,Nikon F,35.9,24,FX,,,
7b81f0fa-f692-490d-99d3-1c8aec455050,D70,Nikon,Nikon F,23.7,15.6,DX,,,
e45dc251-4544-4ba8-a2db-9dd91db1eec7,D700,Nikon,Nikon F,36,23.9,FX,,,
3111d292-9c73-42a8-ab72-186fc628ba94,D7000,Nikon,Nikon F,23.6,15.6,DX,,,
42670844-458c-4858-a951-082660ece256,D70S,Nikon,Nikon F,23.7,15.6,DX,,,
aeaf967c-f040-4bc7-8e96-00e0d2017c77,D7100,Nikon,Nikon F,23.5,15.6,DX,,,
cb7c1ebf-b66f-4f28-9301-a6c94ed7048c,D7200,Nikon,Nikon F,23.5,15.6,DX,,,
f14fc65d-9b56-47b8-b760-289d50b9bf22,D750,Nikon,Nikon F,35.9,24,FX,,,
bb54e297-cf9c-4f27-8a0f-ea39830241ed,D80,Nikon,Nikon F,23.6,15.8,DX,,,
00da5edf-e151-4f15-b885-38242ef6b25f,D800,Nikon,Nikon F,35.9,24,FX,,,
29c5a067-58d8-47e8-b0e8-175ed3446adb,D800E,Nikon,Nikon F,35.9,24,FX,,,
cb09b171-6088-468a-bebb-33e62bb38689,D810,Nikon,Nikon F,35.9,24,FX,,,
a07e7d7c-83a8-4c52-94cf-7d7dcea2df3d,D850,Nikon,Nikon F,35.9,23.9,FX,,,
6a8a59ff-66a7-4474-b7d4-2b4249c724c6,D90,Nikon,Nikon F,23.6,15.8,DX,,,
50cbae17-ddf8-4748-871f-edb0007c3f73,Df,Nikon,Nikon F,36,23.9,FX,,,
911cbdf1-8aa5-411b-9a19-84ef66906263,Z 5,Nikon,Nikon Z,35.9,23.9,FX,,,
ecf30498-608b-41db-81f3-a3312dae33d9,Z 50,Nikon,Nikon Z,23.5,15.7,DX,,,
e6f85108-b64f-4793-831c-cd051bc56f7b,Z 6,Nikon,Nikon Z,35.9,23.9,FX,,,
0c8c8f58-3363-4db9-ae3a-d09737c6a743,Z 7,Nikon,Nikon Z,35.9,23.9,FX,,,
5c815141-3ba7-469d-97f2-ef75d603685a,E-30,Olympus,Four Thirds,17.3,13,"4/3""",,,
b8133d96-9635-46a9-b81c-9d82396e62de,E-5,Olympus,Four Thirds,17.3,13,"4/3""",,,
3bf56de8-19de-4d78-a8b9-ac5319e2abda,E-620,Olympus,Four Thirds,17.3,13,"4/3""",,,
284773ba-9b6e-41d9-93ff-800a512ec0c8,A01,Olympus,MFT,17.3,13,"4/3""",,,AIR
20ffccdb-4744-4c50-8ce1-46ea6cc0a0a2,E-M1,Olympus,MFT,17.3,13,"4/3""",,,OM-D
e26d3501-1b6a-4647-8a5a-18bdb0231daa,E-M1 Mark II,Olympus,MFT,17.4,13,"4/3""",,,OM-D
bf7e9f9c-9756-49dd-9823-3218e851af89,E-M1 Mark III,Olympus,MFT,17.4,13,"4/3""",,,OM-D
a7abde2b-d741-4e97-ba44-da6900e900df,E-M10,Olympus,MFT,17.3,13,"4/3""",,,OM-D
90e8dcef-f588-40fd-8e2b-855187850657,E-M10 Mark II,Olympus,MFT,17.3,13,"4/3""",,,OM-D
9931ff2e-af85-4bf4-ba4f-22bb3ea1ff00,E-M10 Mark III,Olympus,MFT,17.4,13,"4/3""",,,OM-D
0ee4a2c7-cb3e-4344-b6d7-6e44f3165113,E-M1X,Olympus,MFT,17.4,13,"4/3""",,,OM-D
4053b31a-46ba-446f-95ed-602d141d6d1a,E-M5,Olympus,MFT,17.3,13,"4/3""",,,OM-D
c7ae6037-8242-46f4-a820-1ebdf22b769b,E-M5 Mark II,Olympus,MFT,17.3,13,"4/3""",,,OM-D
a6223578-5b58-4165-88e0-bb2ca49e504c,E-M5 Mark III,Olympus,MFT,17.4,13,"4/3""",,,OM-D
8d699b71-7440-4ad4-aa95-76ee87e678e6,E-P1,Olympus,MFT,17.3,13,"4/3""",,,PEN
69c755cb-614c-46d5-932c-dfa19d604982,E-P2,Olympus,MFT,17.3,13,"4/3""",,,PEN
bfb29540-8462-4c63-afd1-edcc269203bd,E-P3,Olympus,MFT,17.3,13,"4/3""",,,PEN
bf66fa19-d241-4e03-9722-0f65adc2f60f,E-P5,Olympus,MFT,17.3,13,"4/3""",,,PEN
5dd7c5e7-67f3-413d-b888-4f8b79520274,E-PL10,Olympus,MFT,17.4,13,"4/3""",,,PEN
5e2690e3-2284-4499-a4df-7a18951084b0,E-PL1s,Olympus,MFT,17.3,13,"4/3""",,,PEN
eb2a4970-45a7-42fd-9418-cfaa556ea110,E-PL2,Olympus,MFT,17.3,13,"4/3""",,,PEN
b087b77c-3a86-4820-97c6-319e39d5dd63,E-PL3,Olympus,MFT,17.3,13,"4/3""",,,PEN
4c0aead2-0215-407c-bd87-f0e2245ef1e8,E-PL5,Olympus,MFT,17.3,13,"4/3""",,,PEN
9ca42a2c-2e31-47b8-b71f-a1b0c551aec6,E-PL6,Olympus,MFT,17.3,13,"4/3""",,,PEN
5a3c75af-b56e-41a6-a8ea-90111447f4af,E-PL7,Olympus,MFT,17.3,13,"4/3""",,,PEN
99ffa517-5556-4b13-a766-94750e89715d,E-PL8,Olympus,MFT,17.3,13,"4/3""",,,PEN
6072432d-8f3c-43a1-8475-5085adc13531,E-PL9,Olympus,MFT,17.3,13,"4/3""",,,PEN
603e0788-3330-4c03-99f1-aa6138dceb21,E-PM1,Olympus,MFT,17.3,13,"4/3""",,,PEN
e914a374-e46a-4143-9596-42c03605c9b0,E-PM2,Olympus,MFT,17.3,13,"4/3""",,,PEN
48a67696-9c5b-4545-a928-a861a011300c,PEN-F,Olympus,MFT,17.4,13,"4/3""",,,PEN
05545607-66e0-45b9-a39f-6359b7f5f153,DMC-L1,Panasonic,Four Thirds,17.3,13,"4/3""",,,Lumix
93672964-e520-4084-a94e-8a2d12c66a9a,DMC-L10,Panasonic,Four Thirds,17.3,13,"4/3""",,,Lumix
8fbef281-9455-49c6-a9d4-416baacd3341,DC-S1,Panasonic,Leica L,35.6,23.8,35mm,,,Lumix
f3020f4d-1565-4194-8407-02a6c57a9174,DC-S1H,Panasonic,Leica L,35.6,23.8,35mm,,,Lumix
9674ad61-564b-4eea-a864-7d833a051ede,DC-S1R,Panasonic,Leica L,36,24,35mm,,,Lumix
aeedbcad-3536-4cc3-949f-4a709db417a3,DC-G9,Panasonic,MFT,17.3,13,"4/3""",DMC-G9 Pro,,Lumix
22283f7b-cc56-406e-8edb-5703c7b36b67,DC-GH5,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
d1220527-f846-45e6-9cb6-e78b7d312e07,DC-GH5S,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
649fe11e-45bf-43bd-a6e4-c452e66a9898,DC-GX850,Panasonic,MFT,17.3,13,"4/3""",DC-GF9,DC-GX800,Lumix
4c0c2f53-958a-4a36-a124-eeeb1f5db18f,DC-GX9,Panasonic,MFT,17.3,13,"4/3""",DC-GX7MK3,,Lumix
82c54147-b4db-4142-ae3a-67725bc04de9,DMC-G1,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
a539019c-7ac7-43e9-9e3c-41d1c071c663,DMC-G2,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
c0b5fbde-be58-4325-8dde-344a769fc8c4,DMC-G3,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
a3b35699-1b43-41b3-b527-713e00157ea6,DMC-G5,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
97c7e45b-0daa-442a-8bfe-881a41abe01c,DMC-G6,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
f6fcd0ac-5187-420f-99ca-fcbcaffe4866,DMC-G7,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
24f7a717-63be-47f6-9653-02706d8c6e12,DMC-G80,Panasonic,MFT,17.3,13,"4/3""",DMC-G8,DMC-G85,Lumix
01885d15-2642-4bde-b6f0-c1bb1d82d456,DMC-GF1,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
fe25adf4-d343-447b-9124-63946e588ecb,DMC-GF2,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
06204162-ace6-40e8-acaa-69068ca10bba,DMC-GF3,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
3f2424da-c601-4c99-b366-47d48a4eeecb,DMC-GF5,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
2f7f916e-a58e-4357-8e6e-21103985b1b1,DMC-GF6,Panasonic,MFT,17.3,13,"4/3""",,,Lumix
