ID,Name,Brand,Mount,Min. Focal Length (mm),Max. Focal Length (mm),Min. F Value,Max. F Value,Min. Focus Distance (mm),Keywords
8923D6E5-C79B-4988-A206-B18CD9FF1D45,EF8-15mm F4L Fisheye USM,Canon,Canon EF,8,15,4,22,150,
9FEAA701-4E32-4936-8FBB-872DA8110FE4,EF11-24mm F4L USM,Canon,Canon EF,11,24,4,22,280,
AF50C4C4-EBBB-4AAE-B768-A72E1822D07C,EF14mm F2.8L II USM,Canon,Canon EF,14,14,2.8,22,200,
FFE1CA4A-69D5-416E-AAFE-A434C445F9BF,EF15mm F2.8 Fisheye,Canon,Canon EF,15,15,2.8,22,200,
401E1138-F42C-4BD9-B191-20391CF9DD33,EF16-35mm F2.8L II USM,Canon,Canon EF,16,35,2.8,22,280,
E05B0E02-FF7F-49CE-B4DB-89C887B6DBD3,EF16-35mm F2.8L III USM,Canon,Canon EF,16,35,2.8,22,280,
CA783B14-4720-4936-9897-C7E8CD9B06F8,EF16-35mm F4L IS USM,Canon,Canon EF,16,35,4,22,280,
0D856312-983D-419D-AAAB-6C431B461E85,EF17-40mm F4L USM,Canon,Canon EF,17,40,4,22,280,
C4549A2F-8B5D-49D8-B0C3-8AAFA7409DBB,EF20mm F2.8 USM,Canon,Canon EF,20,20,2.8,22,250,
172D7922-7786-4F1C-A62C-C0C443DC560A,EF24mm F1.4L II USM,Canon,Canon EF,24,24,1.4,22,250,
8FA74E07-2271-4E0C-9D98-2AD2B7F4F3C7,EF24mm F2.8 IS USM,Canon,Canon EF,24,24,2.8,22,200,
47BE0709-5B59-42B4-BDD4-25C73BA5D8BF,EF24-70mm F2.8L II USM,Canon,Canon EF,24,70,2.8,22,380,
04268918-331A-4A51-A334-6D30C43061B1,EF24-70mm F4L IS USM,Canon,Canon EF,24,70,4,22,200,
D091BF75-7643-4225-9AA2-988AE18CD102,EF24-105mm F3.5-5.6 IS STM,Canon,Canon EF,24,105,3.5,36,400,
E4EC68D2-2CB7-48E1-8652-4F3B3E4DDADD,EF24-105mm F4L IS II USM,Canon,Canon EF,24,105,4,22,450,
EA4DA688-BDEB-4FB2-97D4-4167E6B9FE59,EF24-105mm F4L IS USM,Canon,Canon EF,24,105,4,22,450,
A83EFBC2-5088-4399-BF40-179503536B8C,EF28mm F1.8 USM,Canon,Canon EF,28,28,1.8,22,250,
